GEOID,place,state,state_abbr,county,ua_name,ua_pop,congressio,cbg_pop,acs_pop,land_area,biome,cnpysource,tc_goal,treecanopy,tc_gap,priority_i,pctpoc,pctpocnorm,pctpov,pctpovnorm,unemplrate,unemplnorm,dep_ratio,dep_perc,depratnorm,linguistic,lingnorm,health_nor,temp_diff,temp_norm,tes,tesctyscor,holc_grade,child_perc,seniorperc,ej_disadva,rank,rankgrpsz,_bld1200,_veg1200,_tot1200,_bld1500,_veg1500,_tot1500,_bld1800,_veg1800,_tot1800
370010201001,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1329,1385.0,0.9833,Forest,Google,0.5,0.4992,0.0008,0.415995044745946,0.156678700361011,0.156678700361011,0.405776173285198,0.458948892917739,0.063100137174211,0.140448692420018,0.575654152445961,0.365342960288809,0.287827076222981,0.048353909465021,0.306685294971774,0.550400281333606,3.24,0.556750298685783,99,84.0,,0.153068592057762,0.212274368231047,Yes,3.0,47,,,,,,,,,
370010201002,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1255,1347.0,1.1965,Forest,Google,0.5,0.4216,0.0784,0.405248931111094,0.144023756495917,0.144023756495917,0.420935412026726,0.476094591201531,0.0,0.0,0.539428571428571,0.350408314773571,0.269714285714286,0.048353909465021,0.306685294971774,0.550400281333606,5.01,0.627240143369176,91,84.0,,0.146993318485523,0.203414996288047,Yes,16.0,47,,,,,,,,,
370010201003,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,789,973.0,1.3525,Forest,Google,0.5,0.3575,0.1425,0.674878131280684,0.865364850976362,0.865364850976362,0.774922918807811,0.876468455020547,0.324483775811209,0.722238081644305,0.885658914728682,0.469681397738952,0.442829457364341,0.048353909465021,0.306685294971774,0.550400281333606,7.02,0.707287933094385,74,84.0,,0.426515930113052,0.043165467625899,Yes,38.0,47,,,,,,,,,
370010201004,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,667,519.0,0.9792,Forest,Google,0.4,0.161,0.239,0.446137325995412,0.262042389210019,0.262042389210019,0.435452793834297,0.492514323919464,0.0,0.0,0.161073825503356,0.138728323699422,0.080536912751678,0.048353909465021,0.306685294971774,0.550400281333606,14.37,1.0,71,84.0,,0.069364161849711,0.069364161849711,Yes,42.0,47,,,,,,,,,
370010202001,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1020,750.0,1.0278,Forest,Google,0.5,0.2764,0.2236,0.708241664662914,0.657333333333333,0.657333333333333,0.838134430727023,0.947963173845718,0.25,0.556451612903226,0.572327044025157,0.364,0.286163522012579,0.104110921916808,0.660324866202133,0.881791253896044,7.86,0.740740740740741,58,84.0,,0.250666666666667,0.113333333333333,Yes,47.0,47,,,,,,,,,
370010202002,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,678,519.0,0.4181,Forest,Google,0.5,0.2902,0.2098,0.518342159477771,0.5626204238921,0.5626204238921,0.13102119460501,0.148190150559839,0.020134228187919,0.044814894998917,0.402702702702703,0.287090558766859,0.201351351351351,0.104110921916808,0.660324866202133,0.881791253896044,8.21,0.754679410593389,71,84.0,,0.169556840077071,0.117533718689788,Yes,42.0,47,,,,,,,,,
370010202003,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,944,1024.0,0.9558,Forest,Google,0.4,0.3259,0.0741,0.704124265671582,0.8935546875,0.8935546875,0.8427734375,0.953210073892752,0.031128404669261,0.069285803941258,1.056224899598394,0.513671875,0.528112449799197,0.104110921916808,0.660324866202133,0.881791253896044,7.15,0.712465153325368,86,84.0,,0.46484375,0.048828125,Yes,21.0,47,,,,,,,,,
370010202004,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1495,1915.0,1.063,Forest,Google,0.5,0.336,0.164,0.620148135133337,0.680417754569191,0.680417754569191,0.665968586387435,0.753236797927223,0.036519871106337,0.081286164720557,0.569672131147541,0.362924281984334,0.284836065573771,0.104110921916808,0.660324866202133,0.881791253896044,6.93,0.703703703703704,73,84.0,,0.184856396866841,0.178067885117493,Yes,39.0,47,,,,,,,,,
370010203011,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,976,1281.0,2.3741,Forest,Google,0.5,0.6869,0.0,0.590728430548989,0.904761904761905,0.904761904761905,0.530054644808743,0.599512757122627,0.0,0.0,0.843165467625899,0.457455113192818,0.42158273381295,0.157666214382632,1.0,0.70374286261465,-6.04,0.187176423735564,100,84.0,,0.31303669008587,0.144418423106948,Yes,1.0,47,,,,,,,,,
370010203012,Burlington,North Carolina,NC,Alamance County,"Burlington, NC",147327,NC Congressional District 6,1312,999.0,1.363,Forest,Google,0.5,0.3115,0.1885,0.752703294309274,0.665665665665666,0.665665665665666,0.710762331838565,0.803900294795449,0.069264069264069,0.154168412232928,2.121875,0.67967967967968,1.0,0.157666214382632,1.0,0.70374286261465,8.07,0.74910394265233,62,84.0,,0.332332332332332,0.347347347347347,Yes,46.0,47,,,,,,,,,
